Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
I86,I86,,3,0,3,3,0,3,0,0,0,0,0,0,2,0.006659,0,47,0.5,0.124808
I105,I105,,3,0,3,3,0,3,0,0,0,0,0,0,2,0.007128,0,46,0.5,0.124808
I89,I89,,3,0,3,3,0,3,0,0,0,0,0.043401,0,3,0.016517,0,22,0.333333,0.401186
I92,I92,,3,0,3,3,0,3,0,0,0,0,0.043396,0,4,0.016517,0,8,0.333333,0.401186
I10,I10,,0,2,2,0,2,2,1,1,1,0,0,0.008177,7,0.002865,0,113,0,0
I106,I106,,0,2,2,0,2,2,1,1,1,0,0,0,12,0.002865,2,124,0,0
I119,I119,,1,1,2,1,1,2,8,0.170732,0.197534,0,0.0379,0.008198,3,0.004935,0,44,0.5,0.205878
I91,I91,,1,1,2,1,1,2,1,1,1,0.5,0.000171,0.006635,3,0.003697,0,33,0,0.098941
I121,I121,,1,1,2,1,1,2,8,0.171254,0.197959,0,0.037895,0.008197,4,0.004935,0,44,0.5,0.205878
I94,I94,,1,1,2,1,1,2,1,1,1,1,0.000171,0.004817,5,0.003697,0,37,0,0.098941
I97,I97,,1,1,2,1,1,2,7,0.18617,0.202993,5,0.110407,0.009806,0,0.003082,0,65,0,0.008543
I12,I12,,1,1,2,1,1,2,6,0.228916,0.252924,0.5,0.069064,0.002046,1,0.003067,0,79,0,0.003669
I46,I46,,1,1,2,1,1,2,7,0.18617,0.202993,2,0.069064,0.010292,1,0.003067,0,77,0,0.003669
I15,I15,,1,1,2,1,1,2,7,0.18617,0.202993,0,0,0,8,0.003284,0,87,0.5,0.027673
I32,I32,,1,1,2,1,1,2,1,1,1,0,0,0,8,0.003284,0,86,0.5,0.027673
I101,I101,,1,1,2,1,1,2,7,0.18617,0.202993,0,0,0,8,0.003284,0,82,0.5,0.027673
I33,I33,,1,1,2,1,1,2,1,1,1,0,0.035618,0.007705,9,0.00335,0,97,0.5,0.039419
I1,I1,,2,0,2,2,0,2,0,0,0,0,0.090157,0,0,0.004745,0,5,0.5,0.145216
I34,I34,,2,0,2,2,0,2,0,0,0,0,0.090157,0,0,0.004745,0,4,0.5,0.145216
I51,I51,,2,0,2,2,0,2,0,0,0,0,0.090157,0,0,0.004745,0,3,0.5,0.145216
I65,I65,,2,0,2,2,0,2,0,0,0,0,0.090157,0,0,0.004745,0,2,0.5,0.145216
I84,I84,,2,0,2,2,0,2,0,0,0,0,0.090157,0,0,0.004745,0,1,0.5,0.145216
I2,I2,,2,0,2,2,0,2,0,0,0,0,0.084265,0,1,0.006169,0,59,0.5,0.242962
I35,I35,,2,0,2,2,0,2,0,0,0,0,0.084265,0,1,0.006169,0,58,0.5,0.242962
I52,I52,,2,0,2,2,0,2,0,0,0,0,0.084265,0,1,0.006169,0,57,0.5,0.242962
I66,I66,,2,0,2,2,0,2,0,0,0,0,0.084265,0,1,0.006169,0,56,0.5,0.242962
I85,I85,,2,0,2,2,0,2,0,0,0,0,0.084265,0,1,0.006169,0,55,0.5,0.242962
I67,I67,,2,0,2,2,0,2,0,0,0,0,0,0,2,0.004253,0,48,0.5,0.073588
I38,I38,,2,0,2,2,0,2,0,0,0,0,0.041541,0,3,0.007032,0,25,0.5,0.275506
I39,I39,,2,0,2,2,0,2,0,0,0,0,0.025353,0,3,0.005583,0,30,0.5,0.413025
I40,I40,,2,0,2,2,0,2,0,0,0,0,0.001614,0,3,0.005268,0,34,0.5,0.13415
I41,I41,,2,0,2,2,0,2,0,0,0,0,0.041536,0,4,0.007032,0,11,0.5,0.275506
I42,I42,,2,0,2,2,0,2,0,0,0,0,0.024702,0,5,0.005583,0,17,0.5,0.413025
I93,I93,,2,0,2,2,0,2,0,0,0,0,0.023267,0,5,0.007061,0,14,0,0.349294
I43,I43,,2,0,2,2,0,2,0,0,0,0,0.001614,0,5,0.005268,0,38,0.5,0.13415
I76,I76,,2,0,2,2,0,2,0,0,0,0,0.009882,0,5,0.006527,0,21,0.5,0.493599
I129,I129,,2,0,2,2,0,2,0,0,0,0,0.013584,0,5,0.005776,0,7,0.5,0.49406
I11,I11,,2,0,2,2,0,2,0,0,0,0,0.1267,0,0,0.003955,0,69,0.5,0.020243
I45,I45,,2,0,2,2,0,2,0,0,0,0,0.1267,0,0,0.003955,0,68,0.5,0.020243
I59,I59,,2,0,2,2,0,2,0,0,0,0,0.1267,0,0,0.003955,0,67,0.5,0.020243
I62,I62,,2,0,2,2,0,2,0,0,0,0,0.000593,0,7,0.003625,0,109,0.5,0.020243
I49,I49,,2,0,2,2,0,2,0,0,0,0,0,0,8,0.006075,0,85,0.5,0.049262
I16,I16,,2,0,2,2,0,2,0,0,0,0,0.0433,0,9,0.004062,0,93,0.5,0.063908
I50,I50,,2,0,2,2,0,2,0,0,0,0,0.037214,0,9,0.006198,0,96,0.5,0.063908
I20,I20,,0,1,1,0,1,1,1,1,1,0,0,0,10,0.002865,1,115,0,0
I53,I53,,1,0,1,1,0,1,0,0,0,0,0,0,2,0.003314,0,49,0,0.048396
I125,I125,,1,0,1,1,0,1,0,0,0,0,0,0,2,0.003314,0,45,0,0.048396
I21,I21,,1,0,1,1,0,1,0,0,0,0,0.01362,0,1,0.00623,0,43,0,0.359618
I55,I55,,1,0,1,1,0,1,0,0,0,0,0.01362,0,1,0.00623,0,42,0,0.359618
I69,I69,,1,0,1,1,0,1,0,0,0,0,0.01362,0,1,0.00623,0,41,0,0.359618
I5,I5,,1,0,1,1,0,1,0,0,0,0,0.0379,0,3,0.004935,0,27,0,0.205878
I56,I56,,1,0,1,1,0,1,0,0,0,0,0.0379,0,3,0.004935,0,24,0,0.205878
I6,I6,,1,0,1,1,0,1,0,0,0,0,0.022892,0,3,0.003918,0,32,0,0.314085
I7,I7,,1,0,1,1,0,1,0,0,0,0,0.037895,0,4,0.004935,0,13,0,0.205878
I57,I57,,1,0,1,1,0,1,0,0,0,0,0.037895,0,4,0.004935,0,10,0,0.205878
I8,I8,,1,0,1,1,0,1,0,0,0,0,0.02227,0,5,0.003918,0,20,0,0.314085
I78,I78,,1,0,1,1,0,1,0,0,0,0,0.110407,0,0,0.003082,0,66,0,0.008543
I29,I29,,1,0,1,1,0,1,0,0,0,0,0.069064,0,1,0.003067,0,78,0,0.003669
I60,I60,,1,0,1,1,0,1,0,0,0,0,0.069064,0,1,0.003067,0,74,0,0.003669
I98,I98,,1,0,1,1,0,1,0,0,0,0,0.069064,0,1,0.003067,0,72,0,0.003669
I63,I63,,1,0,1,1,0,1,0,0,0,0,0,0,8,0.003284,0,84,0,0.027673
I64,I64,,1,0,1,1,0,1,0,0,0,0,0.035618,0,9,0.00335,0,95,0,0.039419
I37,I37,,1,0,1,1,0,1,0,0,0,0,0,0,10,0.005299,1,114,0,0.003669
I68,I68,,1,0,1,1,0,1,0,0,0,0,0,0,12,0.004082,2,123,0,0.003669
I126,I126,,1,0,1,1,0,1,0,0,0,0,0,0,12,0.004082,2,122,0,0.003669
